分类: 🐧┃卫视频道, 名称: 内蒙古卫视, 有效: 7, IPv4: 7, IPv6: 0, 最小延迟: 24 ms, 最高速率: 40.07 MiB/s, 平均速率: 26.06 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 🐧┃卫视频道, 名称: 宁夏卫视, 有效: 5, IPv4: 7, IPv6: 0, 最小延迟: 66 ms, 最高速率: 42.57 MiB/s, 平均速率: 32.86 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 🐧┃卫视频道, 名称: 青海卫视, 有效: 5, IPv4: 7, IPv6: 0, 最小延迟: 67 ms, 最高速率: 46.63 MiB/s, 平均速率: 38.31 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 🐧┃卫视频道, 名称: 山东卫视, 有效: 5, IPv4: 7, IPv6: 0, 最小延迟: 57 ms, 最高速率: 49.64 MiB/s, 平均速率: 43.08 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 🐧┃卫视频道, 名称: 山西卫视, 有效: 5, IPv4: 9, IPv6: 0, 最小延迟: 71 ms, 最高速率: 43.77 MiB/s, 平均速率: 27.38 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 25.0, 视频编解码器: h264, 音频编解码器: mp2
分类: 🐧┃卫视频道, 名称: 陕西卫视, 有效: 6, IPv4: 7, IPv6: 0, 最小延迟: 65 ms, 最高速率: 48.11 MiB/s, 平均速率: 26.03 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 🐧┃卫视频道, 名称: 四川卫视, 有效: 6, IPv4: 6, IPv6: 0, 最小延迟: 52 ms, 最高速率: 54.71 MiB/s, 平均速率: 45.51 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 🐧┃卫视频道, 名称: 三沙卫视, 有效: 6, IPv4: 8, IPv6: 0, 最小延迟: 68 ms, 最高速率: 42.26 MiB/s, 平均速率: 30.97 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 🐧┃卫视频道, 名称: 天津卫视, 有效: 6, IPv4: 7, IPv6: 0, 最小延迟: 52 ms, 最高速率: 58.05 MiB/s, 平均速率: 36.03 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 🐧┃卫视频道, 名称: 西藏卫视, 有效: 6, IPv4: 7, IPv6: 0, 最小延迟: 71 ms, 最高速率: 41.85 MiB/s, 平均速率: 34.36 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 🐧┃卫视频道, 名称: 新疆卫视, 有效: 5, IPv4: 8, IPv6: 0, 最小延迟: 67 ms, 最高速率: 45.21 MiB/s, 平均速率: 33.26 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 🐧┃卫视频道, 名称: 云南卫视, 有效: 6, IPv4: 8, IPv6: 0, 最小延迟: 58 ms, 最高速率: 47.83 MiB/s, 平均速率: 36.27 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 🚂┃湾区频道, 名称: 翡翠台, 有效: 1, IPv4: 49, IPv6: 0, 最小延迟: 36 ms, 最高速率: 1.88 MiB/s, 平均速率: 0.69 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 35.0, 视频编解码器: h264, 音频编解码器: aac
分类: 🚂┃湾区频道, 名称: 翡翠台 backup, 有效: 0, IPv4: 2, IPv6: 0, 最小延迟: — ms, 最高速率: 0.00 MiB/s, 平均速率: 0.00 MiB/s, 最高分辨率: —, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 🚂┃湾区频道, 名称: iNews 新闻台, 有效: 0, IPv4: 1, IPv6: 0, 最小延迟: — ms, 最高速率: 0.00 MiB/s, 平均速率: 0.00 MiB/s, 最高分辨率: —, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 🚂┃湾区频道, 名称: J 2, 有效: 0, IPv4: 1, IPv6: 0, 最小延迟: — ms, 最高速率: 0.00 MiB/s, 平均速率: 0.00 MiB/s, 最高分辨率: —, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
